# Secciones según ArcelorMittal
# -----------------------------
#
# 2016-02-01 Pedro Biel
#
# http://sections.arcelormittal.com/products-services/products-ranges.html
#
# 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
#
# Perfil,nominal,g,h,b,tw,tf,r,A,hi,d,O,pmin,pmax,AL,AG,Iy,Wely,Wply,iy,Avz,Iz,Welz,Wplz,iz,ss,It,Iw
# --,--,kN/m,mm,mm,mm,mm,mm,cm²,mm,mm,--,mm,mm,m²/m,m²/t,cm4,cm³,cm³,cm,cm²,cm4,cm³,cm³,cm,mm,cm6,cm6
#
IPEA,270,0.307,267,135,5.5,8.7,15,39.2,249.6,219.6,M16,70,72,1.037,33.75,4917,368,413,11.2,18.8,358,53,82.3,3.02,40.5,10.3,59500
IPE,270,0.361,270,135,6.6,10.2,15,45.9,249.6,219.6,M16,72,72,1.041,28.86,5790,429,484,11.2,22.1,420,62.2,97,3.02,44.6,15.9,70600
IPEO,270,0.423,274,136,7.5,12.2,15,53.8,249.6,219.6,M16,72,72,1.051,24.88,6947,507,575,11.4,25.2,514,75.5,118,3.09,49.5,24.9,87600
IPEA,300,0.365,297,150,6.1,9.2,15,46.5,278.6,248.6,M16,72,86,1.156,31.65,7173,483,542,12.4,22.3,519,69.2,107,3.34,42.1,13.4,107000
IPE,300,0.422,300,150,7.1,10.7,15,53.8,278.6,248.6,M16,72,86,1.16,27.46,8356,557,628,12.5,25.7,604,80.5,125,3.35,46.1,20.1,126000
IPEO,300,0.493,304,152,8,12.7,15,62.8,278.6,248.6,M16,74,88,1.174,23.81,9994,658,744,12.6,29.1,746,98.1,153,3.45,51,31.1,158000
IPEA,330,0.43,327,160,6.5,10,18,54.7,307,271,M16,78,96,1.25,29.09,10230,626,702,13.7,27,685,85.6,133,3.54,47.6,19.6,172000
IPE,330,0.491,330,160,7.5,11.5,18,62.6,307,271,M16,78,96,1.254,25.52,11770,713,804,13.7,30.8,788,98.5,154,3.55,51.6,28.2,199000
IPEO,330,0.57,334,162,8.5,13.5,18,72.6,307,271,M16,80,98,1.268,22.24,13910,833,943,13.8,34.9,960,119,185,3.64,56.6,42.2,246000
IPEA,360,0.502,357.6,170,6.6,11.5,18,64,334.6,298.6,M22,86,88,1.351,26.91,14520,812,907,15.1,29.8,944,111,172,3.84,50.7,26.5,282000
IPE,360,0.571,360,170,8,12.7,18,72.7,334.6,298.6,M22,88,88,1.353,23.7,16270,904,1019,15,35.1,1043,123,191,3.79,54.5,37.3,314000
IPEO,360,0.66,364,172,9.2,14.7,18,84.1,334.6,298.6,M22,90,90,1.367,20.69,19050,1047,1186,15.1,40.2,1251,146,227,3.86,59.7,55.8,380000
IPEA,400,0.574,397,180,7,12,21,73.1,373,331,M22,94,98,1.464,25.51,20290,1022,1144,16.7,35.8,1171,130,202,4,55.6,34.8,432000
IPE,400,0.663,400,180,8.6,13.5,21,84.5,373,331,M22,96,98,1.467,22.12,23130,1160,1307,16.6,42.7,1318,146,229,3.95,60.2,51.1,490000
IPEO,400,0.757,404,182,9.7,15.5,21,96.4,373,331,M22,96,100,1.481,19.57,26750,1324,1502,16.7,48,1564,172,269,4.03,65.3,73.1,588000
IPEV,400,0.84,408,182,10.6,17.5,21,107,373,331,M24,96,100,1.487,17.7,30140,1477,1681,16.8,52.5,1766,194,304,4.06,70,99.6,673400
IPEA,450,0.672,447,190,7.6,13.1,21,85.6,420.8,378.8,M24,100,102,1.603,23.87,29760,1331,1494,18.7,42.3,1502,158,246,4.19,58.4,45.7,705000
IPE,450,0.776,450,190,9.4,14.6,21,98.8,420.8,378.8,M24,100,102,1.605,20.69,33740,1500,1702,18.5,50.9,1676,176,276,4.12,63.2,66.9,791000
IPEO,450,0.924,456,192,11,17.6,21,118,420.8,378.8,M24,102,104,1.622,17.56,40920,1795,2046,18.7,59.4,2085,217,341,4.21,70.8,109,998000
IPEV,450,1.07,460,194,12.4,19.6,21,132,420.8,378.8,M24,102,104,1.635,15.78,46200,2008,2301,18.7,66.6,2397,247,389,4.26,76,149,1162000
IPEA,500,0.794,497,200,8.4,14.5,21,101,468,426,M24,100,112,1.741,21.94,42930,1728,1946,20.6,50.4,1939,194,302,4.38,62,62.8,1125000
IPE,500,0.907,500,200,10.2,16,21,116,468,426,M24,102,112,1.744,19.23,48200,1930,2194,20.4,59.9,2142,214,336,4.31,66.8,89.3,1249000
IPEO,500,1.07,506,202,12,19,21,137,468,426,M24,104,114,1.76,16.4,57780,2284,2613,20.6,70.2,2622,260,409,4.38,74.6,144,1548000
IPEV,500,1.29,514,204,14.2,23,21,164.1,468,426,M27,104,114,1.78,13.81,70720,2751,3168,20.7,83.1,3271,320,506,4.46,85,241,1971000
IPEA,550,0.921,547,210,9,15.7,24,117,515.6,467.6,M24,106,122,1.875,20.36,59980,2193,2475,22.6,60.3,2432,232,362,4.55,68.5,86.5,1710000
IPE,550,1.06,550,210,11.1,17.2,24,134,515.6,467.6,M24,110,122,1.877,17.78,67120,2440,2787,22.4,72.3,2668,254,401,4.45,73.6,123,1884000
IPEO,550,1.23,556,212,12.7,20.2,24,156,515.6,467.6,M24,110,122,1.893,15.45,79160,2847,3263,22.5,82.7,3224,304,481,4.55,81.2,188,2302000
IPEV,550,1.59,566,216,17.1,25.2,24,202,515.6,467.6,M27,110,126,1.921,12.11,102340,3616,4204,22.5,109,4264,395,632,4.59,95,372,3118000
IPEA,600,1.08,597,220,9.8,17.5,24,137,562,514,M27,114,118,2.013,18.72,82920,2778,3141,24.6,70.1,3116,283,442,4.77,72.9,119,2607000
IPE,600,1.22,600,220,12,19,24,156,562,514,M27,116,118,2.015,16.45,92080,3070,3512,24.3,83.8,3387,308,486,4.66,78.1,165,2846000
IPEO,600,1.54,610,224,15,24,24,197,562,514,M27,118,122,2.045,13.24,118300,3879,4471,24.5,104,4521,404,640,4.79,91.1,318,3860000
