# Secciones según ArcelorMittal
# -----------------------------
#
# 2016-02-01 Pedro Biel
#
# http://sections.arcelormittal.com/products-services/products-ranges.html
#
# 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
#
# Perfil,nominal,g,h,b,tw,tf,r,A,hi,d,O,pmin,pmax,AL,AG,Iy,Wely,Wply,iy,Avz,Iz,Welz,Wplz,iz,ss,It,Iw
# --,--,kN/m,mm,mm,mm,mm,mm,cm²,mm,mm,--,mm,mm,m²/m,m²/t,cm4,cm³,cm³,cm,cm²,cm4,cm³,cm³,cm,mm,cm6,cm6
#
HEAA,450,0.997,425,300,10,13.5,27,127.1,398,344,M27,120,198,1.984,19.89,41890,1971,2183,18.16,54.7,6088,405.8,624.4,6.92,68.63,95.61,2572000
HEA,450,1.4,440,300,11.5,21,27,178,398,344,M27,122,198,2.011,14.39,63720,2896,3216,18.92,65.78,9465,631,965.5,7.29,85.13,243.8,4148000
HEB,450,1.71,450,300,14,26,27,218,398,344,M27,124,198,2.026,11.84,79890,3551,3982,19.14,79.66,11720,781.4,1198,7.33,97.63,440.5,5258000
HEM,450,2.63,478,307,21,40,27,335.4,398,344,M27,132,202,2.096,7.959,131500,5501,6331,19.8,119.8,19340,1260,1939,7.59,132.6,1529,9251000
HEAA,500,1.07,472,300,10.5,14,27,136.9,444,390,M27,120,198,2.077,19.33,54640,2315,2576,19.98,61.91,6314,420.9,649.3,6.79,70.13,107.7,3304000
HEA,500,1.55,490,300,12,23,27,197.5,444,390,M27,122,198,2.11,13.6,86970,3550,3949,20.98,74.72,10370,691.1,1059,7.24,89.63,309.3,5643000
HEB,500,1.87,500,300,14.5,28,27,238.6,444,390,M27,124,198,2.125,11.34,107200,4287,4815,21.19,89.82,12620,841.6,1292,7.27,102.1,538.4,7018000
HEM,500,2.7,524,306,21,40,27,344.3,444,390,M27,132,202,2.184,8.079,161900,6180,7094,21.69,129.5,19150,1252,1932,7.46,132.6,1539,11190000
HEAA,550,1.2,522,300,11.5,15,27,152.8,492,438,M27,122,198,2.175,18.13,72870,2792,3128,21.84,72.66,6767,451.1,698.6,6.65,73.13,133.7,4338000
HEA,550,1.66,540,300,12.5,24,27,211.8,492,438,M27,122,198,2.209,13.29,111900,4146,4622,22.99,83.72,10820,721.3,1107,7.15,92.13,351.5,7189000
HEB,550,1.99,550,300,15,29,27,254.1,492,438,M27,124,198,2.224,11.15,136700,4971,5591,23.2,100.1,13080,871.8,1341,7.17,104.6,600.3,8856000
HEM,550,2.78,572,306,21,40,27,354.4,492,438,M27,132,202,2.28,8.195,198000,6923,7933,23.64,139.6,19160,1252,1937,7.35,132.6,1554,13520000
HEAA,600,1.29,571,300,12,15.5,27,164.1,540,486,M27,122,198,2.272,17.64,91900,3218,3623,23.66,81.29,6993,466.2,724.5,6.53,74.63,149.8,5381000
HEA,600,1.78,590,300,13,25,27,226.5,540,486,M27,122,198,2.308,12.98,141200,4787,5350,24.97,93.21,11270,751.4,1156,7.05,94.63,397.8,8978000
HEB,600,2.12,600,300,15.5,30,27,270,540,486,M27,126,198,2.323,10.96,171000,5701,6425,25.17,110.8,13530,902,1391,7.08,107.1,667.2,10970000
HEM,600,2.85,620,305,21,40,27,363.7,540,486,M27,132,200,2.372,8.308,237400,7660,8772,25.55,149.7,18980,1244,1930,7.22,132.6,1564,15910000
HE,600x337,3.37,632,310,25.5,46,27,429.2,540,486,M27,138,202,2.407,7.144,283200,8961,10380,25.69,180.5,22940,1480,2310,7.31,149.1,2451,19610000
HE,600x399,3.99,648,315,30,54,27,508.5,540,486,M27,142,208,2.45,6.137,344600,10640,12460,26.03,213.6,28280,1796,2814,7.46,169.6,3966,24810000
HEAA,650,1.38,620,300,12.5,16,27,175.8,588,534,M27,122,198,2.369,17.17,113900,3676,4160,25.46,90.4,7221,481.4,750.7,6.41,76.13,167.5,6567000
HEA,650,1.9,640,300,13.5,26,27,241.6,588,534,M27,124,198,2.407,12.69,175200,5474,6136,26.93,103.2,11720,781.6,1205,6.97,97.13,448.3,11030000
HEB,650,2.25,650,300,16,31,27,286.3,588,534,M27,126,198,2.422,10.77,210600,6480,7320,27.12,122,13980,932.3,1441,6.99,109.6,739.2,13360000
HEM,650,2.93,668,305,21,40,27,373.7,588,534,M27,132,200,2.468,8.411,281700,8433,9657,27.45,159.7,18980,1245,1936,7.13,132.6,1579,18650000
HE,650x343,3.43,680,309,25,46,27,437.5,588,534,M27,138,202,2.5,7.278,333700,9815,11350,27.62,189.6,22720,1470,2300,7.21,148.6,2442,22730000
HE,650x407,4.07,696,314,29.5,54,27,518.8,588,534,M27,142,206,2.543,6.243,405400,11650,13620,27.95,224.8,28020,1785,2803,7.35,169.1,3958,28710000
HEAA,700,1.5,670,300,13,17,27,190.9,636,582,M27,122,198,2.468,16.46,142700,4260,4840,27.34,100.3,7673,511.5,799.7,6.34,78.63,195.2,8155000
HEA,700,2.04,690,300,14.5,27,27,260.5,636,582,M27,124,198,2.505,12.25,215300,6241,7032,28.75,117,12180,811.9,1257,6.84,100.1,513.9,13350000
HEB,700,2.41,700,300,17,32,27,306.4,636,582,M27,126,198,2.52,10.48,256900,7340,8327,28.96,137.1,14440,962.7,1495,6.87,112.6,830.9,16060000
HEM,700,3.01,716,304,21,40,27,383,636,582,M27,132,200,2.56,8.513,329300,9198,10540,29.32,169.8,18800,1240,1929,7.01,132.6,1589,21400000
HE,700x352,3.52,728,308,25,46,27,448.6,636,582,M27,138,200,2.592,7.359,389700,10710,12390,29.47,201.6,22510,1461,2293,7.08,148.6,2461,26050000
HE,700x418,4.18,744,313,29.5,54,27,531.9,636,582,M27,142,206,2.635,6.31,472500,12700,14840,29.8,239,27760,1774,2797,7.22,169.1,3989,32850000
HEAA,800,1.72,770,300,14,18,30,218.5,734,674,M27,130,198,2.66,15.51,208900,5426,6225,30.92,123.8,8134,542.2,856.6,6.1,85.15,256.8,11450000
HEA,800,2.24,790,300,15,28,30,285.8,734,674,M27,130,198,2.698,12.03,303400,7682,8699,32.58,138.8,12640,842.6,1312,6.65,106.1,596.9,18290000
HEB,800,2.62,800,300,17.5,33,30,334.2,734,674,M27,134,198,2.713,10.34,359100,8977,10230,32.78,161.8,14900,993.6,1553,6.68,118.6,946,21840000
HEM,800,3.17,814,303,21,40,30,404.3,734,674,M27,138,198,2.746,8.655,442600,10870,12490,33.09,194.3,18630,1230,1930,6.79,136.1,1646,27780000
HE,800x373,3.73,826,308,25,46,30,474.6,734,674,M27,144,200,2.782,7.469,523900,12690,14700,33.23,230.3,22530,1463,2311,6.89,152.1,2554,34070000
HE,800x444,4.44,842,313,30,54,30,566,734,674,M27,148,206,2.824,6.357,634500,15070,17640,33.48,276.5,27800,1776,2827,7.01,173.1,4180,42840000
HEAA,900,1.98,870,300,15,20,30,252.2,830,770,M27,130,198,2.858,14.44,301100,6923,7999,34.55,147.2,9041,602.8,957.7,5.99,90.15,334.9,16260000
HEA,900,2.52,890,300,16,30,30,320.5,830,770,M27,132,198,2.896,11.51,422100,9485,10810,36.29,163.3,13550,903.2,1414,6.5,111.1,736.8,24960000
HEB,900,2.91,900,300,18.5,35,30,371.3,830,770,M27,134,198,2.911,9.99,494100,10980,12580,36.48,188.8,15820,1050,1658,6.53,123.6,1137,29460000
HEM,900,3.33,910,302,21,40,30,423.6,830,770,M27,138,198,2.934,8.824,570400,12540,14440,36.7,214.4,18450,1220,1929,6.6,136.1,1671,34750000
HE,900x391,3.91,922,307,25,46,30,497.7,830,770,M27,144,200,2.97,7.604,674300,14630,16990,36.81,254.3,22320,1454,2312,6.7,152.1,2597,42560000
HE,900x466,4.66,938,312,30,54,30,593.7,830,770,M27,148,204,3.012,6.464,814900,17380,20380,37.05,305.3,27560,1767,2832,6.81,173.1,4256,53400000
HEAA,1000,2.22,970,300,16,21,30,282.2,928,868,M27,132,198,3.056,13.8,406500,8380,9777,37.95,172.2,9501,633.4,1016,5.8,93.15,403.4,21280000
HE,1000x249,2.49,980,300,16.5,26,30,316.8,928,868,M27,134,194,3.08,12.37,481100,9818,11350,38.97,180.7,11750,784,1245,6.09,103.6,584.4,26620000
HEA,1000,2.72,990,300,16.5,31,30,346.8,928,868,M27,132,198,3.095,11.37,553800,11190,12820,39.96,184.6,14000,933.6,1470,6.35,113.6,822.4,32070000
HEB,1000,3.14,1000,300,19,36,30,400,928,868,M27,134,198,3.11,9.905,644700,12890,14860,40.15,212.5,16280,1085,1716,6.38,126.1,1254,37640000
HEM,1000,3.49,1008,302,21,40,30,444.2,928,868,M27,138,198,3.13,8.978,722300,14330,16570,40.32,235,18460,1222,1940,6.45,136.1,1701,43020000
HE,1000x393,3.93,1016,303,24.4,43.9,30,500.2,928,868,M27,142,198,3.14,8.01,807700,15900,18540,40.18,271.3,20500,1353,2168,6.4,147.3,2332,48080000
HE,1000x415,4.15,1020,304,26,46,30,528.7,928,868,M27,144,198,3.15,7.6,853100,16728,19571,40.17,288.6,21710,1428,2298,6.41,153.1,2713,51080000
HE,1000x438,4.38,1026,305,26.9,49,30,556,928,868,M27,146,198,3.17,7.25,909200,17720,20750,40.43,299.9,23360,1531,2463,6.48,160,3190,55290000
HE,1000x494,4.94,1036,309,31,54,30,629.1,928,868,M27,148,204,3.19,6.47,1028000,19845,23413,40.42,344.5,26820,1736,2818,6.53,174.1,4433,64010000
HE,1000x584,5.84,1056,314,36,64,30,743.7,928,868,M27,154,208,3.24,5.56,1246100,23600,28039,40.93,403.2,33430,2130,3475,6.7,199.1,7230,81240000
HL,920x344,3.44,927,418,19.3,32,19,437.2,862.8,824.8,M27,126,312,3.455,10.07,645000,13920,15700,38.41,188,39010,1867,2880,9.45,105.6,1159,78120000
HL,920x368,3.68,931,419,20.3,34.3,19,465.6,862.8,824.8,M27,128,314,3.465,9.48,692200,14870,16790,38.56,198.2,42120,2010,3104,9.51,111.2,1408,84670000
HL,920x390,3.9,936,420,21.3,36.6,19,494.3,862.8,824.8,M27,128,314,3.477,8.96,741700,15850,17920,38.74,208.6,45270,2156,3331,9.57,116.8,1691,91550000
HL,920x420,4.2,943,422,22.5,39.9,19,534.1,862.8,824.8,M27,130,316,3.496,8.34,813300,17250,19530,39.02,221.5,50070,2373,3667,9.68,124.6,2151,102100000
HL,920x449,4.49,948,423,24,42.7,19,571.4,862.8,824.8,M27,130,318,3.507,7.82,874700,18450,20950,39.13,236.6,53970,2552,3949,9.72,131.7,2627,110600000
HL,920x491,4.91,957,422,25.9,47,19,623.3,862.8,824.8,M27,132,316,3.518,7.189,966300,20200,23000,39.37,256.6,59000,2796,4335,9.73,142.2,3441,122200000
HL,920x537,5.37,965,425,28.4,51.1,19,682.5,862.8,824.8,M27,136,320,3.541,6.609,1066000,22080,25270,39.51,282.1,65550,3085,4795,9.8,152.9,4447,136900000
HL,920x588,5.88,975,427,31,55.9,19,748.1,862.8,824.8,M27,138,322,3.563,6.068,1181000,24230,27840,39.74,309.3,72760,3408,5310,9.86,165.1,5860,153200000
HL,920x656,6.56,987,431,34.5,62,19,835.3,862.8,824.8,M27,144,320,3.596,5.485,1335000,27060,31270,39.98,345.8,83040,3853,6022,9.97,180.8,7950,177600000
HL,920x725,7.25,999,434,38.1,68.1,19,922.9,862.8,824.8,M27,148,323,3.625,5.004,1492000,29880,34740,40.21,383.6,93200,4295,6734,10.05,196.6,10570,201900000
HL,920x787,7.87,1011,437,40.9,73.9,19,1002,862.8,824.8,M27,152,326,3.656,4.647,1646000,32560,38010,40.53,414.5,103300,4728,7425,10.15,211,13430,226800000
HL,920x970,9.7,1043,446,50,89.9,19,1237,862.8,824.8,M27,160,334,3.737,3.85,2100000,40270,47660,41.21,513.8,133900,6002,9490,10.4,252.1,24320,304000000
HL,920x1077,10.77,1061,451,55,99.1,19,1372,863.2,825.2,M27,166,340,3.784,3.514,2377000,44790,53390,41.63,570,152700,6773,10740,10.55,275.5,33170,350800000
HL,920x1194,11.94,1081,457,60.5,109,19,1522,863.2,825.2,M27,172,346,3.837,3.212,2694000,49830,59830,42.08,632.7,175000,7660,12180,10.72,300.8,44370,409700000
HL,920x1269,12.69,1093,461,64,115.1,19,1617,863.2,825.2,M27,174,350,3.87,3.049,2900000,53040,63960,42.35,672.9,189900,8237,13130,10.84,316.5,52500,449700000
HL,920x1377,13.77,1093,473,76.7,115.1,19,1754,863.2,825.2,M27,188,362,3.893,2.827,3034000,55500,67680,41.59,797.2,206300,8723,14160,10.85,329.2,61190,485700000
HLAA,1000,2.96,982,400,16.5,27.1,30,377.6,928,868,M27,134,294,3.479,11.74,620300,12630,14260,40.53,181.5,28960,1448,2243,8.76,105.8,762.6,65900000
HLA,1000,3.21,990,400,16.5,31,30,408.8,928,868,M27,134,294,3.495,10.89,696400,14070,15800,41.27,184.6,33120,1656,2555,9,113.6,1021,76030000
HLB,1000,3.71,1000,400,19,36.1,30,472.8,928,868,M27,136,294,3.51,9.458,813700,16270,18360,41.49,212.5,38580,1929,2984,9.03,126.3,1575,89440000
HLM,1000,4.12,1008,402,21.1,40,30,525.1,928,868,M27,140,296,3.53,8.564,910500,18070,20460,41.64,236,43400,2160,3349,9.09,136.2,2134,101500000
HL,1000x443,4.43,1012,402,23.6,41.9,30,563.7,928,868,M27,142,296,3.533,7.985,966500,19100,21780,41.41,261.8,45500,2264,3529,8.98,142.5,2545,106700000
HL,1000x483,4.83,1020,404,25.4,46,30,615.1,928,868,M27,144,298,3.554,7.36,1067000,20930,23920,41.66,282.7,50710,2510,3919,9.08,152.5,3311,119900000
HL,1000x539,5.39,1030,407,28.4,51.1,30,687.2,928,868,M27,146,302,3.58,6.636,1203000,23350,26820,41.83,316.4,57630,2832,4436,9.16,165.7,4546,137600000
HL,1000x554,5.54,1032,408,29.5,52,30,705.8,928,868,M27,150,296,3.585,6.471,1232000,23880,27500,41.79,328,59100,2897,4547,9.15,168.6,4860,141300000
HL,1000x591,5.91,1040,409,31,55.9,30,752.7,928.2,868.2,M27,148,304,3.602,6.097,1331000,25600,29530,42.05,346.3,64010,3130,4916,9.22,177.9,5927,154300000
HL,1000x642,6.42,1048,412,34,60,30,817.6,928,868,M27,154,300,3.624,5.647,1451000,27680,32100,42.12,379.6,70280,3412,5379,9.27,189.1,7440,170700000
HL,1000x748,7.48,1068,417,39,70,30,953.4,928,868,M27,160,304,3.674,4.909,1732000,32430,37880,42.62,438.9,85110,4082,6459,9.45,214.1,11670,210600000
HL,1000x883,8.83,1092,424,45.5,82,30,1125,928,868,M27,166,312,3.737,4.231,2096000,38390,45260,43.16,516.5,105000,4952,7874,9.66,244.6,18750,265700000
HL,1000x976,9.76,1108,428,50,89.9,30,1243,928,868,M27,172,316,3.776,3.875,2349000,42400,50300,43.5,570.7,118500,5538,8839,9.77,264.9,24770,304400000
HLA,1100,3.43,1090,400,18,31,30,440.7,1028,968,M27,128,310,3.692,10.67,878360,16110,18280,44.64,216.9,33130,1657,2575,8.67,115.1,1105,92910000
HLB,1100,3.9,1100,400,20,36,30,501.3,1028,968,M27,130,310,3.708,9.423,1016300,18480,21000,45.02,242.1,38490,1924,2995,8.76,127.1,1649,108900000
HLM,1100,4.33,1108,402,22,40,30,555.4,1028,968,M27,132,312,3.728,8.55,1136500,20510,23380,45.23,266.6,43430,2160,3370,8.85,137.1,2229,123800000
HLR,1100R,4.99,1118,405,26,45,30,639.5,1028,968,M27,136,315,3.752,7.475,1305000,23340,26820,45.17,313.7,50010,2469,3879,8.84,151.1,3253,143900000
HL,1100x548,5.48,1128,407,28,50,30,702.5,1028,968,M27,138,317,3.776,6.848,1456600,25820,29730,45.53,339.5,56410,2771,4358,8.96,163.1,4344,163800000
HL,1100x607,6.07,1138,410,31,55,30,777.4,1028,968,M27,141,320,3.802,6.231,1624100,28540,33000,45.7,376.4,63470,3096,4886,9.03,176.1,5789,186100000
HLZA,1100,3.931,1075.4,458,20,31,35,500.8,0,935.9,M27,154,352,3.858,9.814,983100,18280,20670,44.3,241.2,47950,2094,3308,9.78,130.4,1598,122000000
HLZB,1100,4.075,1079.4,458,20,33,35,519.1,0,935.9,M27,154,352,3.866,9.486,1036000,19200,21650,44.68,242.9,51150,2234,3517,9.93,134.4,1750,131200000
HLZC,1100,4.304,1083.4,459,21,35,35,548.3,0,935.9,M27,154,354,3.876,9.004,1100000,20310,22940,44.8,255,54730,2385,3784,9.99,139.4,2051,141300000
HLZD,1100,4.533,1087.4,460,22,37,35,577.5,0,935.9,M27,156,354,3.886,8.572,1165000,21430,24230,44.92,267.2,58350,2537,3993,10.05,144.4,2384,151700000
HD,260x54.1,0.541,244,260,6.5,9.5,24,69,225,177,M27,110,158,1.474,27.22,7981,654.1,714.5,10.76,24.75,2788,214.5,327.7,6.36,53.62,30.31,382600
HD,260x68.2,0.682,250,260,7.5,12.5,24,86.8,225,177,M27,110,158,1.484,21.77,10450,836.4,919.8,10.97,28.76,3668,282.1,430.2,6.5,60.62,52.37,516400
HD,260x93.0,0.93,260,260,10,17.5,24,118.4,225,177,M27,114,158,1.499,16.12,14920,1148,1283,11.22,37.59,5135,395,602.2,6.58,73.12,123.8,753700
HD,260x114,1.14,268,262,12.5,21.5,24,145.7,225,177,M27,116,160,1.518,13.27,18910,1411,1600,11.39,46.08,6456,492.8,752.5,6.66,83.62,222.4,979000
HD,260x142,1.42,278,265,15.5,26.5,24,180.3,225,177,M27,120,164,1.544,10.91,24330,1750,2015,11.62,56.65,8236,621.6,950.5,6.76,96.62,406.8,1300000
HD,260x172,1.72,290,268,18,32.5,24,219.6,225,177,M27,122,166,1.575,9.133,31310,2159,2524,11.94,66.89,10450,779.7,1192,6.9,111.1,719,1728000
HD,260x225,2.25,309,271,24,42,24,286.6,225,177,M27,130,166,1.613,7.169,43750,2832,3396,12.36,89.18,13970,1031,1583,6.98,136.1,1545,2483000
HD,260x299,2.99,335,278,31,55,24,380.5,225,177,M27,136,172,1.679,5.621,64220,3834,4727,12.99,118.1,19770,1423,2190,7.21,169.1,3437,3860000
HD,320x74.2,0.742,301,300,8,11,27,94.6,279,225,M27,118,198,1.74,23.43,16450,1093,1196,13.19,35.4,4959,330.6,505.7,7.24,61.63,55.87,1041000
HD,320x97.6,0.976,310,300,9,15.5,27,124.4,279,225,M27,118,198,1.756,17.98,22930,1479,1628,13.58,41.13,6985,465.7,709.7,7.49,71.63,108,1512000
HD,320x127,1.27,320,300,11.5,20.5,27,161.3,279,225,M27,122,198,1.771,13.98,30820,1926,2149,13.82,51.77,9239,615.9,939.1,7.57,84.13,225.1,2069000
HD,320x158,1.58,330,303,14.5,25.5,27,201.2,279,225,M27,124,202,1.797,11.37,39640,2403,2718,14.04,64.18,11840,781.7,1194,7.67,97.13,420.5,2741000
HD,320x198,1.98,343,306,18,32,27,252.3,279,225,M27,128,204,1.828,9.227,51900,3026,3479,14.34,79.52,15310,1001,1530,7.79,113.6,805.3,3695000
HD,320x245,2.45,359,309,21,40,27,312,279,225,M27,132,204,1.866,7.616,68130,3796,4435,14.78,94.85,19710,1276,1951,7.95,132.6,1501,5004000
HD,320x300,3,375,313,27,48,27,382.1,279,225,M27,138,208,1.902,6.34,86900,4635,5522,15.08,120.47,24600,1572,2414,8.02,154.6,2650,6558000
HD,360x134,1.34,356,369,11.2,18,15,170.6,320,290,M27,100,264,2.14,15.98,41510,2332,2562,15.6,45.19,15080,817.3,1237,9.4,64.77,168.8,4305000
HD,360x147,1.47,360,370,12.3,19.8,15,187.9,320,290,M27,100,264,2.15,14.58,46290,2572,2838,15.7,49.72,16720,903.9,1369,9.43,69.47,223.7,4836000
HD,360x162,1.62,364,371,13.3,21.8,15,206.3,320,290,M27,102,266,2.16,13.34,51540,2832,3139,15.81,53.98,18560,1001,1516,9.49,74.47,295.5,5432000
HD,360x179,1.79,368,373,15,23.9,15,228.3,320,290,M27,104,268,2.172,12.12,57440,3122,3482,15.86,60.72,20680,1109,1683,9.52,80.37,393.8,6119000
HD,360x196,1.96,372,374,16.4,26.2,15,250.3,320,290,M27,104,268,2.181,11.1,63630,3421,3837,15.94,66.5,22860,1222,1856,9.56,86.37,517.1,6829000
HD,400x187,1.87,368,391,15,24,15,237.6,320,290,M27,104,286,2.244,12.03,60180,3271,3642,15.91,60.73,23920,1224,1855,10.03,80.57,414.6,7074000
HD,400x216,2.16,375,394,17.3,27.7,15,275.5,320,290,M27,106,288,2.266,10.48,71140,3794,4262,16.07,70.32,28250,1434,2176,10.13,90.27,637.3,8515000
HD,400x237,2.37,380,395,18.9,30.2,15,300.9,320,290,M27,108,290,2.276,9.637,78780,4146,4686,16.18,77.1,31040,1572,2387,10.16,96.87,825.5,9489000
HD,400x262,2.62,387,398,21.1,33.3,15,334.6,320,290,M27,110,292,2.298,8.749,89410,4620,5260,16.35,86.55,35020,1760,2676,10.23,105.3,1116,10940000
HD,400x287,2.87,393,399,22.6,36.6,15,366.3,320,290,M27,112,294,2.311,8.038,99710,5074,5813,16.5,93.46,38780,1944,2957,10.29,113.4,1464,12300000
HD,400x314,3.14,399,401,24.9,39.6,15,399.2,320,290,M27,114,296,2.326,7.425,110200,5525,6374,16.62,103.3,42600,2125,3236,10.33,121.7,1870,13740000
HD,400x347,3.47,407,404,27.2,43.7,15,442,320,290,M27,116,298,2.35,6.773,124900,6140,7139,16.81,113.9,48090,2380,3629,10.43,132.2,2510,15850000
HD,400x382,3.82,416,406,29.8,48,15,487.1,320,290,M27,118,300,2.371,6.2,141300,6794,7965,17.03,126,53620,2641,4031,10.49,143.4,3326,18130000
HD,400x421,4.21,425,409,32.8,52.6,15,537.1,320,290,M27,122,304,2.395,5.68,159600,7510,8880,17.24,139.9,60080,2938,4489,10.58,155.6,4398,20800000
HD,400x463,4.63,435,412,35.8,57.4,15,589.5,320,290,M27,124,306,2.421,5.231,180200,8283,9878,17.48,154.3,67040,3254,4978,10.66,168.2,5735,23850000
HD,400x509,5.09,446,416,39.1,62.7,15,649,320,290,M27,128,310,2.452,4.813,204500,9172,11030,17.75,170.6,75400,3625,5552,10.78,182.1,7513,27630000
HD,400x551,5.51,455,418,42,67.6,15,701.4,320,290,M27,132,312,2.472,4.49,226100,9939,12050,17.95,184.9,82490,3947,6051,10.85,194.8,9410,30870000
HD,400x592,5.92,465,421,45,72.3,15,754.9,320,290,M27,134,316,2.498,4.216,250200,10760,13140,18.2,200.3,90170,4284,6574,10.93,207.2,11560,34670000
HD,400x634,6.34,474,424,47.6,77.1,15,808,320,290,M27,140,312,2.523,3.978,274200,11570,14220,18.42,214,98250,4634,7117,11.03,219.4,14020,38570000
HD,400x677,6.77,483,428,51.2,81.5,15,863.4,320,290,M27,144,316,2.55,3.762,299500,12400,15350,18.62,231.9,106900,4994,7680,11.13,231.8,16790,42920000
HD,400x744,7.44,498,432,55.6,88.9,15,948.1,320,290,M27,148,320,2.587,3.476,342100,13740,17170,19,256.1,119900,5552,8549,11.25,251,21840,49980000
HD,400x818,8.18,514,437,60.5,97,15,1043,320,290,M27,154,326,2.629,3.21,392200,15260,19260,19.39,283.3,135500,6203,9561,11.4,272.1,28510,58650000
HD,400x900,9,531,442,65.9,106,15,1149,320,290,M27,158,330,2.672,2.962,450200,16960,21620,19.79,313.8,153300,6938,10710,11.55,295.5,37350,68890000
HD,400x990,9.9,550,448,71.9,115,15,1262,320,290,M27,164,336,2.722,2.747,518900,18870,24280,20.27,349.2,173400,7739,11960,11.72,319.5,48210,81530000
HD,400x1086,10.86,569,454,78,125,15,1386,320,290,M27,170,342,2.772,2.548,595700,20940,27210,20.73,385.8,196200,8645,13380,11.9,345.6,62290,96080000
HD,400x1202,12.02,580,471,95,130,15,1530,320,290,M27,188,360,2.828,2.353,663600,22880,30020,20.82,469.6,228700,9712,15150,12.22,373,79230,114600000
HD,400x1299,12.99,600,476,100,140,15,1650,320,290,M27,192,364,2.878,2.215,754600,25150,33250,21.35,505.2,254400,10690,16670,12.4,398,98140,133100000
HP,200x43,0.425,200,205,9,9,10,54.1,182,162,M27,100,106,1.185,27.88,3888,388.8,434.5,8.47,19.85,1294,126.2,193.4,4.89,38.72,17.68,117900
HP,200x53,0.535,204,207,11.3,11.3,10,68.4,181.4,161.4,M27,104,108,1.196,22.36,4977,488,551.3,8.55,24.89,1673,161.7,248.6,4.96,45.62,34.2,155100
HP,220x57,0.572,210,224.5,11,11,18,72.9,188,152,M27,102,122,1.265,22.12,5729,545.6,613.7,8.87,28.63,2079,185.2,285.5,5.34,54.09,44.18,205400
HP,260x75,0.75,249,265,12,12,24,95.5,225,177,M27,116,164,1.493,19.9,10650,855.1,958.5,10.56,39.14,3733,281.7,435.1,6.25,64.12,79.29,522600
HP,260x87,0.873,253,267,14,14,24,111,225,177,M27,118,166,1.505,17.24,12590,994.9,1124,10.64,45.12,4455,333.7,516.2,6.33,70.12,115.7,634200
HP,305x79,0.789,299.3,306.4,11,11.1,15.2,101,277.1,246.7,M27,102,204,1.776,22.52,16440,1099,1218,12.79,37.06,5326,347.7,531.2,7.28,51.01,51.37,1105000
HP,305x88,0.88,301.7,307.8,12.4,12.3,15.2,112,277.1,246.7,M27,104,206,1.784,20.28,18420,1221,1360,12.82,41.61,5984,388.9,595.2,7.31,54.81,70.05,1252000
HP,305x95,0.949,303.7,308.7,13.3,13.3,15.2,121,277.1,246.7,M27,106,206,1.79,18.85,20040,1320,1474,12.87,44.65,6529,423,648,7.35,57.71,86.69,1375000
HP,305x110,1.1,307.9,310.7,15.3,15.4,15.2,140,277.1,246.7,M27,108,208,1.802,16.39,23560,1531,1720,12.97,51.42,7709,496.2,761.7,7.42,63.91,131.4,1647000
HP,305x126,1.26,312.3,312.9,17.5,17.6,15.2,161,277.1,246.7,M27,110,210,1.815,14.4,27410,1755,1986,13.06,58.91,9002,575.4,885.2,7.49,70.51,194.3,1951000
HP,305x149,1.49,318.5,316,20.6,20.7,15.2,190,277.1,246.7,M27,114,214,1.834,12.3,33070,2076,2370,13.2,69.62,10910,690.5,1066,7.58,79.81,314.2,2414000
HP,305x180,1.8,326.7,319.7,24.8,24.8,15.2,229,277.1,246.7,M27,118,218,1.857,10.31,40970,2508,2897,13.37,84.39,13550,847.4,1313,7.69,92.21,541.7,3077000
HP,305x186,1.86,328.3,320.9,25.5,25.6,15.2,237,277.1,246.7,M27,118,218,1.863,10.02,42610,2596,3003,13.41,86.95,14140,881.5,1366,7.73,94.51,593.7,3230000
HP,305x223,2.23,337.9,325.7,30.3,30.4,15.2,284,277.1,246.7,M27,124,220,1.892,8.487,52700,3119,3653,13.62,104.4,17580,1079,1680,7.87,108.9,998.4,4138000
HP,320x88,0.885,303,304,12,12,27,113,279,225,M27,122,202,1.752,19.8,18740,1237,1379,12.9,47.66,5634,370.6,572.1,7.07,67.6,99.04,1190000
HP,320x103,1.03,307,306,14,14,27,131,279,225,M27,124,204,1.764,17.15,22050,1437,1611,12.97,54.84,6704,438.2,677.3,7.15,73.6,142.3,1435000
HP,320x117,1.17,311,308,16,16,27,150,279,225,M27,126,206,1.776,15.13,25480,1638,1849,13.06,62.1,7815,507.5,785.5,7.23,79.6,198.5,1695000
HP,320x147,1.47,319,312,20,20,27,187,279,225,M27,130,210,1.8,12.27,32670,2048,2338,13.22,76.86,10160,651.3,1011,7.37,91.6,357.1,2263000
HP,320x184,1.84,329,317,25,25,27,235,279,225,M27,136,216,1.83,9.939,42340,2574,2979,13.44,95.76,13330,841.2,1311,7.54,106.6,662,3067000
HP,360x109,1.09,346.4,371,12.8,12.9,15.2,139,320.6,290.2,M27,102,266,2.125,19.51,30630,1769,1956,14.86,48.59,10990,592.3,902.9,8.9,56.41,90.73,3053000
HP,360x133,1.33,352,373.8,15.6,15.7,15.2,169,320.6,290.2,M27,104,268,2.142,16.11,37980,2158,2406,14.98,59.22,13680,731.9,1119,8.99,64.81,160.7,3864000
