@ Capacidad resistente de las secciones según EN 1993-1-1:2005
@ ------------------------------------------------------------
@
@ 2016-02-05 Pedro Biel
@
@ Unidades en [kN]; [kNm]
@
@ Perfil; Nominal; N.plRd_S235; N.plRd_S275; N.plRd_S275; M.elyRd_S235; M.elyRd_S275; M.elyRd_S355; M.elzRd_S235; M.elzRd_S275; M.elzRd_S355; M.plyRd_S235; M.plyRd_S275; M.plyRd_S355; M.plzRd_S235; M.plzRd_S275; M.plzRd_S355; V.plyRd_S235; V.plyRd_S275; V.plyRd_S355; V.plzRd_S235; V.plzRd_S275; V.plzRd_S355
@
IPEAA,80,148.285,173.525,173.525,3.8539999999999996,4.51,5.821999999999999,0.7002999999999999,0.8195,1.0579,4.4415,5.1975,6.709499999999999,1.1045,1.2925,1.6685,52.42571384349478,61.34923960408965,79.19629112527936,40.70319397786862,47.63139720814413,61.48780366869514
IPEA,80,149.93,175.45,175.45,3.8775,4.5375,5.8575,0.7002999999999999,0.8195,1.0579,4.465,5.225,6.745,1.1045,1.2925,1.6685,52.42571384349478,61.34923960408965,79.19629112527936,41.65293517068555,48.74279647633416,62.92251908763136
IPE,80,179.54,210.1,210.1,4.7,5.5,7.1,0.86715,1.01475,1.30995,5.452,6.38,8.236,1.363,1.595,2.059,64.9080266633745,75.95620141458718,98.05255091701254,48.57247814692322,56.84013400171866,73.37544571130954
IPEAA,100,201.16000000000003,235.4,235.4,6.5565,7.6725,9.9045,1.07395,1.25675,1.6223500000000002,7.4965,8.7725,11.3245,1.692,1.98,2.556,67.16027006348322,78.59180539343781,101.454876053347,59.698017834207306,69.85938257194472,90.18211204741957
IPEA,100,206.32999999999998,241.45,241.45,6.768,7.92,10.224,1.12095,1.3117499999999997,1.69335,7.755,9.075,11.715,1.7625,2.0625,2.6625,70.14517095519359,82.08477452203505,105.96398165571797,60.24072708724556,70.4944678680533,91.00194942966883
IPE,100,242.05,283.25,283.25,8.037,9.405,12.141000000000002,1.3606500000000001,1.59225,2.05545,9.259,10.835,13.987,2.162,2.53,3.2659999999999996,85.0696754137454,99.54962016502121,128.50950966757284,68.92407513585752,80.65583260579072,104.11934754565712
IPEAA,120,251.45,294.25,294.25,9.7995,11.4675,14.803500000000001,1.5486499999999999,1.81225,2.33945,11.186,13.09,16.898,2.444,2.86,3.692,83.36014126667493,97.54910148227918,125.92702191348765,72.72303990712527,85.10142967855084,109.858209221402
IPEA,120,258.5,302.5,302.5,10.293,12.045,15.548999999999998,1.645,1.925,2.485,11.7265,13.7225,17.7145,2.585,3.025,3.905,88.57015009584211,103.64592032492162,133.79746078308065,73.40142647342309,85.89528629868657,110.88300594921358
IPE,120,310.2,363.0,363.0,12.455,14.575,18.815,2.03275,2.37875,3.07075,14.2645,16.6925,21.5485,3.196,3.74,4.828,109.41018541251086,128.03319569549143,165.27921626145255,85.61238466678365,100.18470546112982,129.3293470498221
IPEAA,140,300.8,352.0,352.0,14.0295,16.4175,21.1935,2.1784499999999998,2.54925,3.29085,15.885999999999997,18.59,23.997999999999998,3.4075,3.9875,5.1475,103.00621622665953,120.5391892014101,155.6051351509112,83.3058703413711,97.48559295266833,125.84503817526272
IPEA,140,314.9,368.5,368.5,14.8755,17.4075,22.4715,2.35,2.75,3.55,16.826,19.69,25.417999999999996,3.6425,4.2625,5.5025,110.92977132101791,129.81143452459543,167.5747609317505,84.25561153418803,98.59699222085835,127.27975359419898
IPE,140,385.4,451.0,451.0,18.1655,21.2575,27.4415,2.8905,3.3825,4.3665,20.7505,24.2825,31.3465,4.5355,5.3075,6.8515,136.68132537768284,159.946231824948,206.47604471947835,103.65746733030542,121.30129155674038,156.5889400096103
IPEAA,160,368.71500000000003,431.475,431.475,19.8105,23.1825,29.9265,2.961,3.465,4.473,22.372,26.18,33.796,4.6295,5.4175,6.9935,124.60604449758178,145.8155839865319,188.23466296443206,105.01424046290103,122.88900479701185,158.63853346523348
IPEA,160,380.7,445.5,445.5,20.633,24.145,31.169,3.1255,3.6575,4.7215,23.2885,27.2525,35.1805,4.8645,5.6925,7.3485,131.28136830995226,153.62713312866754,198.31866276609807,105.82830434245841,123.84163274117472,159.86828953860737
IPE,160,472.35,552.75,552.75,25.615,29.975,38.695,3.9245,4.5925,5.9285,29.14,34.1,44.02,6.1335,7.1775,9.2655,164.65798737180452,192.6848788393457,248.73866177442815,131.06428460873695,153.37309901022408,197.9907278131984
IPEAA,180,446.5,522.5,522.5,27.26,31.9,41.18,4.042,4.73,6.106,30.785,36.025,46.505,6.2745,7.3425,9.4785,153.09828028208986,179.1575620322328,231.2761255325187,123.87338700598018,144.9582188367853,187.12788249839556
IPEA,180,460.6,539.0,539.0,28.2,33.0,42.6,4.23,4.95,6.39,31.725,37.125,47.925,6.58,7.7,9.94,160.50626158606195,187.82647632411502,242.46690580022118,124.8231281987971,146.06961810497532,188.56259791733174
IPE,180,561.65,657.25,657.25,34.31,40.15,51.83,5.217,6.105,7.881,39.01,45.65,58.93,8.131,9.515,12.283,197.54616810592236,231.17104778352618,298.4208071387338,153.31536398330513,179.41159615067622,231.60406048541842
IPEO,180,636.85,745.25,745.25,38.775,45.375,58.575,5.9925,7.0125,9.0525,44.415,51.975,67.095,9.3765,10.9725,14.1645,224.68163075783477,262.9253125889556,339.4126762511972,172.31018783964382,201.6395815144768,260.2983688641428
IPEAA,200,538.15,629.75,629.75,36.66,42.9,55.38,5.264,6.16,7.951999999999999,41.36,48.4,62.48,8.225,9.625,12.425,181.80759976781317,212.75357419637712,274.645523053505,154.67213711590074,180.99930939094767,233.65365394104157
